ID,PARENT_ID,ROLE_NAME
109,101,DB_PCDW_WORKDAY_DB_RW
109,100,DB_PCDW_WORKDAY_DB_RW
110,103,DB_PCDW_WORKDAY_DB_RW
110,102,DB_PCDW_WORKDAY_DB_RW
110,101,DB_PCDW_WORKDAY_DB_RW
110,100,DB_PCDW_WORKDAY_DB_RW
111,100,DB_PCDW_WORKDAY_DB_RW
111,101,DB_PCDW_WORKDAY_DB_RW
111,102,DB_PCDW_WORKDAY_DB_RW
111,103,DB_PCDW_WORKDAY_DB_RW
112,123,DB_QCDW_DST_FA
113,114,DB_QCDW_DST_RO
114,112,DB_QCDW_DST_RW
115,128,DST_ETL_DEVELOPER
116,647,DST_ETL_DEVELOPER
117,123,EA_ANALYST_RO_ALL_RW_SANDBOX
118,123,EA_BUSINESSANALYST_RO
119,123,EA_FPABI_RO_RW_SANDBOX
120,123,EA_FPA_RO_RW_SANDBOX
121,123,EA_SANDBOXETL_RW_SANDBOX
122,123,EA_SBO_RO_ALL_RW_SANDBOX
123,647,EDO_ADMIN_FA_ALL
124,647,EDO_ADMIN_RW_ALL
125,124,EDO_ETLPIPELINES_RW_ALLLAYERS
126,124,EDO_PLATFORMLEAD_MIGRATE_PROD
127,123,EDO_SANDBOX_USER
128,647,PROD_ANALYST
129,647,SCHRL_DCDW_DB_CDW_DM_TB_FULLACCESS
130,1,SCHRL_DCDW_DB_CDW_DM_TB_FULLACCESS
131,647,SCHRL_DCDW_DB_CDW_DM_TB_READONLY
132,142,SCHRL_DCDW_DB_CDW_DM_TB_READONLY
133,647,SCHRL_DCDW_DB_CDW_DM_TB_READWRITE
134,1,SCHRL_DCDW_DB_CDW_DM_TB_READWRITE
135,647,SCHRL_DCDW_DB_CDW_LANDING_TB_FULLACCESS
136,130,SCHRL_DCDW_DB_CDW_LANDING_TB_FULLACCESS
136,129,SCHRL_DCDW_DB_CDW_LANDING_TB_FULLACCESS
137,1,SCHRL_DCDW_DB_CDW_LANDING_TB_FULLACCESS
138,130,SCHRL_DCDW_DB_CDW_LANDING_TB_FULLACCESS
138,129,SCHRL_DCDW_DB_CDW_LANDING_TB_FULLACCESS
139,647,SCHRL_DCDW_DB_D_CDW_FADEL_TB_FULLACCESS
140,1,SCHRL_DCDW_DB_D_CDW_FADEL_TB_FULLACCESS
141,647,SCHRL_DCDW_DB_D_CDW_FADEL_TB_READONLY
142,647,SCHRL_DCDW_DB_D_CDW_FADEL_TB_READWRITE
143,647,SCHRL_JIRA_JIRAPROD_FULLACCESS
144,647,SCHRL_JIRA_JIRAPROD_READONLY
145,117,SCHRL_JIRA_JIRAPROD_READONLY
146,1,SCHRL_JIRA_JIRAPROD_READONLY
147,128,SCHRL_JIRA_JIRAPROD_READONLY
148,647,SCHRL_JIRA_JIRAPROD_READWRITE
149,647,SCHRL_PCDW_DB_CDW_DM_TB_READONLY
150,154,SCHRL_PCDW_DB_CDW_DM_TB_READONLY
151,1,SCHRL_PCDW_DB_CDW_DM_TB_READONLY
152,647,SCHRL_PCDW_DB_CDW_DM_TB_READWRITE
153,647,SCHRL_PCDW_DB_P_CDW_FADEL_TB_FULLACCESS
154,647,SCHRL_PCDW_DB_P_CDW_FADEL_TB_READWRITE
155,2,SCH_FA_CLEAN_ROOM_DB_RBAC_TEST_FRAMEWORK
156,2,SCH_FA_CLEAN_ROOM_DB_SCH_CLEAN
157,2,SCH_FA_CLEAN_ROOM_DB_SCH_ROLE_VIEW
158,5,SCH_FA_DCDW_DB_CDW_DM_TB
158,8,SCH_FA_DCDW_DB_CDW_DM_TB
158,7,SCH_FA_DCDW_DB_CDW_DM_TB
158,6,SCH_FA_DCDW_DB_CDW_DM_TB
159,7,SCH_FA_DCDW_DB_CDW_DM_TB
159,6,SCH_FA_DCDW_DB_CDW_DM_TB
159,5,SCH_FA_DCDW_DB_CDW_DM_TB
159,8,SCH_FA_DCDW_DB_CDW_DM_TB
160,7,SCH_FA_DCDW_DB_CDW_DM_TB
160,6,SCH_FA_DCDW_DB_CDW_DM_TB
160,5,SCH_FA_DCDW_DB_CDW_DM_TB
160,8,SCH_FA_DCDW_DB_CDW_DM_TB
161,5,SCH_FA_DCDW_DB_CDW_DM_TB
161,6,SCH_FA_DCDW_DB_CDW_DM_TB
161,8,SCH_FA_DCDW_DB_CDW_DM_TB
161,7,SCH_FA_DCDW_DB_CDW_DM_TB
162,6,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
162,5,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
162,8,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
162,7,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
163,8,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
163,6,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
163,5,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
163,7,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
164,7,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
164,6,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
164,5,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
164,8,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
165,5,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
165,7,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
165,6,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
165,8,SCH_FA_DCDW_DB_CDW_FADEL_STG_TB
166,5,SCH_FA_DCDW_DB_CDW_FADEL_TB
166,6,SCH_FA_DCDW_DB_CDW_FADEL_TB
166,8,SCH_FA_DCDW_DB_CDW_FADEL_TB
166,7,SCH_FA_DCDW_DB_CDW_FADEL_TB
167,8,SCH_FA_DCDW_DB_CDW_FADEL_TB
167,6,SCH_FA_DCDW_DB_CDW_FADEL_TB
167,5,SCH_FA_DCDW_DB_CDW_FADEL_TB
167,7,SCH_FA_DCDW_DB_CDW_FADEL_TB
168,5,SCH_FA_DCDW_DB_CDW_FADEL_TB
168,8,SCH_FA_DCDW_DB_CDW_FADEL_TB
168,7,SCH_FA_DCDW_DB_CDW_FADEL_TB
168,6,SCH_FA_DCDW_DB_CDW_FADEL_TB
169,5,SCH_FA_DCDW_DB_CDW_FADEL_TB
169,8,SCH_FA_DCDW_DB_CDW_FADEL_TB
169,7,SCH_FA_DCDW_DB_CDW_FADEL_TB
169,6,SCH_FA_DCDW_DB_CDW_FADEL_TB
170,8,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
170,6,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
170,5,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
170,7,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
171,7,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
171,8,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
171,5,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
171,6,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
172,7,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
172,8,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
172,5,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
172,6,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
173,8,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
173,7,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
173,6,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
173,5,SCH_FA_DCDW_DB_CDW_INTGEXT_STG_TB
