USER_NAME,ROLE_NAME
WD_ETL_USER_1,D_WORKDAY_ETL_DEVELOPER
WH_MONITOR_USER,WH_MONITOR
WH_QA_DST_BI,DST_ETL_DEVELOPER
WLIN,PROD_ANALYST
WPHENICIE,PROD_ANALYST
WPHENICIE,EA_SBO_RO_ALL_RW_SANDBOX
YLIANG,PROD_ANALYST
ZAVILES41482,PROD_ANALYST
ZHASSAN,PROD_ANALYST
ZHOWE,SYSADMIN
ZSHEPARD,SYSADMIN
ZSIMON44602,EA_ANALYST_RO_ALL_RW_SANDBOXPRODUSER
ZSIMON44602,EDO_SANDBOX_USER
ZSIMON44602,EA_ANALYST_RO_ALL_RW_SANDBOX
ZSIMON44602,PROD_ANALYST
ZZLEPPER43870,DST_ETL_DEVELOPER
